value,time
10.0,0
10.96,1
11.04,2
11.52,3
11.3,4
13.03,5
12.77,6
11.86,7
12.75,8
11.95,9
11.38,10
7.84,11
7.79,12
7.16,13
8.04,14
8.94,15
8.38,16
8.76,17
8.99,18
9.01,19
7.19,20
7.72,21
7.49,22
7.56,23
6.89,24
8.07,25
7.05,26
7.62,27
7.19,28
7.35,29
6.75,30
6.42,31
5.12,32
5.17,33
3.99,34
2.76,35
4.4,36
3.46,37
4.08,38
4.16,39
5.05,40
5.33,41
5.19,42
5.97,43
5.94,44
4.96,45
5.49,46
7.73,47
7.95,48
8.57,49
9.29,50
10.2,51
10.48,52
11.93,53
12.2,54
10.79,55
9.13,56
-58.47,57
9.81,58
9.73,59
10.73,60
12.38,61
13.12,62
13.77,63
15.0,64
16.07,65
15.69,66
14.82,67
12.87,68
12.35,69
11.48,70
10.63,71
8.45,72
7.26,73
9.23,74
7.67,75
8.93,76
9.49,77
7.47,78
7.06,79
6.76,80
6.64,81
8.0,82
7.46,83
7.2,84
4.75,85
6.89,86
6.67,87
6.62,88
5.32,89
4.52,90
6.55,91
5.58,92
6.9,93
5.96,94
3.82,95
5.87,96
5.8,97
5.88,98
7.51,99
7.97,100
9.62,101
9.39,102
8.62,103
6.91,104
7.49,105
7.08,106
6.9,107
8.75,108
8.84,109
7.37,110
8.07,111
8.44,112
9.04,113
9.83,114
10.45,115
9.19,116
7.76,117
7.74,118
6.83,119
6.62,120
7.51,121
7.68,122
7.91,123
7.32,124
7.12,125
6.17,126
6.63,127
5.87,128
6.92,129
7.15,130
5.83,131
4.12,132
2.61,133
3.19,134
3.93,135
2.17,136
0.57,137
-0.08,138
-1.08,139
-2.21,140
-2.25,141
-5.7,142
-7.02,143
-6.71,144
-5.99,145
-4.87,146
-5.51,147
-5.77,148
-5.72,149
-4.23,150
-5.8,151
-6.26,152
-5.0,153
-6.55,154
-6.48,155
-7.39,156
-7.87,157
-6.64,158
-6.14,159
-6.11,160
-7.25,161
-7.11,162
-6.36,163
-6.71,164
-4.72,165
-4.34,166
-3.76,167
-3.38,168
-3.33,169
-3.15,170
-3.72,171
-4.23,172
-5.11,173
-3.28,174
-3.78,175
-3.7,176
-3.0,177
-1.75,178
-2.01,179
-1.63,180
-0.27,181
0.75,182
0.64,183
1.69,184
0.77,185
2.09,186
1.99,187
1.66,188
1.08,189
1.72,190
2.57,191
2.25,192
2.68,193
3.12,194
5.43,195
5.02,196
5.66,197
5.63,198
3.68,199
3.44,200
5.08,201
5.15,202
6.01,203
6.74,204
6.25,205
6.6,206
5.64,207
5.2,208
2.96,209
4.2,210
3.14,211
3.59,212
2.96,213
1.12,214
0.63,215
1.14,216
0.95,217
110.21,218
1.64,219
1.56,220
2.19,221
3.75,222
4.36,223
4.27,224
3.79,225
4.19,226
4.64,227
6.58,228
6.08,229
5.76,230
5.96,231
3.91,232
3.64,233
4.76,234
5.22,235
6.19,236
6.49,237
5.29,238
3.86,239
5.95,240
8.26,241
8.19,242
7.53,243
8.34,244
7.76,245
6.43,246
5.97,247
6.79,248
5.67,249
3.5,250
3.75,251
4.82,252
4.52,253
3.78,254
4.63,255
4.42,256
6.8,257
5.59,258
4.81,259
7.04,260
6.85,261
7.73,262
6.76,263
5.87,264
6.62,265
7.29,266
7.59,267
8.55,268
9.26,269
8.69,270
9.34,271
7.82,272
8.02,273
9.25,274
9.03,275
9.79,276
10.41,277
9.98,278
11.17,279
12.06,280
13.54,281
11.41,282
10.15,283
11.99,284
12.39,285
12.34,286
12.56,287
13.76,288
13.5,289
13.52,290
11.73,291
11.78,292
12.44,293
13.19,294
12.78,295
13.04,296
12.03,297
12.96,298
12.01,299
11.1,300
11.53,301
11.92,302
12.59,303
12.23,304
13.02,305
12.82,306
14.52,307
14.66,308
14.5,309
14.63,310
15.57,311
13.99,312
14.07,313
14.11,314
12.7,315
13.73,316
15.6,317
16.06,318
16.98,319
15.8,320
15.9,321
16.23,322
16.84,323
17.6,324
17.67,325
19.22,326
18.72,327
20.07,328
19.52,329
17.66,330
17.41,331
18.25,332
18.36,333
17.4,334
16.07,335
16.41,336
16.93,337
17.22,338
16.21,339
